y,growth_rate_%/day,geom_mean_mass_g,size_group,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,env_temp_min,env_temp_max
4.383319333333334,4.383319333333334,0.17173879727294428,;,0.17173879727294428,-1.7617805769476924,0.0021467349659118036,-6.143807211621574,8,41.27519054318381,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
2.0097961666666664,2.0097961666666664,0.17,;,0.17,-1.7719568419318752,0.002125,-6.153983476605757,10,40.98364761157029,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
5.649971333333333,5.649971333333333,0.17173879727294428,;,0.17173879727294428,-1.7617805769476924,0.0021467349659118036,-6.143807211621574,12,40.696194358113715,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
6.053125833333333,6.053125833333333,0.17173879727294428,;,0.17173879727294428,-1.7617805769476924,0.0021467349659118036,-6.143807211621574,14,40.41274532897833,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
3.7590558333333335,3.7590558333333335,0.17173879727294428,;,0.17173879727294428,-1.7617805769476924,0.0021467349659118036,-6.143807211621574,16,40.133217434605314,13.5,Y,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
-2.1277233333333334,-2.1277233333333334,0.17173879727294428,;,0.17173879727294428,-1.7617805769476924,0.0021467349659118036,-6.143807211621574,20,39.58560402939153,13.5,Y,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
4.323211833333333,4.323211833333333,0.84,;,0.84,-0.1743533871447778,0.010499999999999999,-4.55638002181866,12,40.696194358113715,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
7.054545500000001,7.054545500000001,0.8411844378037778,;,0.8411844378037778,-0.17294433532022838,0.010514805472547222,-4.55497096999411,14,40.41274532897833,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
7.988397,7.988397,0.8411844378037778,;,0.8411844378037778,-0.17294433532022838,0.010514805472547222,-4.55497096999411,16,40.133217434605314,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
7.684165,7.684165,0.8411844378037778,;,0.8411844378037778,-0.17294433532022838,0.010514805472547222,-4.55497096999411,18,39.857529868508074,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
9.602332333333331,9.602332333333331,0.8411844378037778,;,0.8411844378037778,-0.17294433532022838,0.010514805472547222,-4.55497096999411,20,39.58560402939153,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
8.825396333333334,8.825396333333334,0.8411844378037778,;,0.8411844378037778,-0.17294433532022838,0.010514805472547222,-4.55497096999411,22,39.31736344643783,13.5,Y,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
3.917288166666667,3.917288166666667,2.405090323004665,;,2.405090323004665,0.8775874591953988,0.030063629037558316,-3.504439175478483,12,40.696194358113715,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
5.511650666666667,5.511650666666667,2.405090323004665,;,2.405090323004665,0.8775874591953988,0.030063629037558316,-3.504439175478483,14,40.41274532897833,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
6.1194905,6.1194905,2.41,;,2.41,0.8796267475025636,0.030125000000000002,-3.502399887171318,16,40.133217434605314,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
6.543045333333333,6.543045333333333,2.405090323004665,;,2.405090323004665,0.8775874591953988,0.030063629037558316,-3.504439175478483,18,39.857529868508074,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
7.345696,7.345696,2.405090323004665,;,2.405090323004665,0.8775874591953988,0.030063629037558316,-3.504439175478483,20,39.58560402939153,13.5,N,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
5.9478285,5.9478285,2.405090323004665,;,2.405090323004665,0.8775874591953988,0.030063629037558316,-3.504439175478483,22,39.31736344643783,13.5,Y,Marbled flounder,Pseudopleuronectes yokohamae,P.yokohamae,;,;
2.03,2.03,14.8324,;,14.8324,2.6968139771761392,0.007346409113422487,-4.913543641136698,3.62433179723502,41.92773132487446,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
2.84,2.84,14.8324,;,14.8324,2.6968139771761392,0.007346409113422487,-4.913543641136698,6.65880184331797,41.473033531354766,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
3.78999999999999,3.78999999999999,14.8324,;,14.8324,2.6968139771761392,0.007346409113422487,-4.913543641136698,9.68921658986175,41.028680397045356,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
4.69999999999999,4.69999999999999,14.8324,;,14.8324,2.6968139771761392,0.007346409113422487,-4.913543641136698,12.7273732718894,40.592648828417126,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
4.18999999999999,4.18999999999999,14.8324,;,14.8324,2.6968139771761392,0.007346409113422487,-4.913543641136698,15.6763133640552,40.178194590563656,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
2.27562491733897,2.27562491733897,28.28427,;,28.28427,3.3423058197295243,0.014009049034175334,-4.268051798583313,3.43076312657055,41.95707499695341,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
