y,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,unit,type
4.3976712,35.2,3.5610460826040513,0.0352,-3.3467091963780855,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
6.251881605,39.9,3.686376323895818,0.0399,-3.2213789550863194,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
6.67121083,44.1,3.7864597824528,0.0441,-3.1212954965293367,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
6.40481344,44.2,3.7887247890836524,0.0442,-3.1190304898984844,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
7.51550732,52.6,3.9627161197436642,0.0526,-2.945039159238473,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
8.010950085,59.5,4.085976312551584,0.0595,-2.821778966430553,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
9.09415852,72.8,4.28771595520264,0.0728,-2.6200393237794968,15,40.27249634293294,9,N,Vendace,Coregonus albula,C.albula,mg O2/h,Standard
0.432014815,7.3,1.9878743481543455,0.19518716577540107,-1.6337963562661408,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.43835761,7.9,2.066862759472976,0.21122994652406418,-1.5548079449475103,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.640622295,10.7,2.3702437414678603,0.28609625668449196,-1.2514269629526258,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.62723195,12.1,2.4932054526026954,0.3235294117647059,-1.128465251817791,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.73153569,12.9,2.5572273113676265,0.34491978609625673,-1.0644433930528596,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.70334549,13.9,2.631888840136646,0.37165775401069523,-0.9897818642838401,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.87812473,14.7,2.6878474937846906,0.393048128342246,-0.9338232106357955,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.898562625,18.2,2.9014215940827497,0.48663101604278075,-0.7202491103377365,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.091665495,23.2,3.1441522786722644,0.6203208556149733,-0.4775184257482219,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.10505584,24.1,3.1822118404966093,0.6443850267379679,-0.4394588639238769,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.334101215,24.9,3.214867803470662,0.6657754010695187,-0.4068029009498243,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.484918785,32.9,3.493472657771326,0.8796791443850267,-0.1281980466491601,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.62657454,33.4,3.5085558999826545,0.893048128342246,-0.11311480443783149,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.761182745,37.4,3.6216707044204863,1,0,4,41.87089958945022,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.603975035,4.3,1.4586150226995167,0.11497326203208556,-2.1630556817209694,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.689955145,5.4,1.6863989535702288,0.14438502673796794,-1.9352717508502575,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.650488865,7.1,1.9600947840472698,0.18983957219251338,-1.6615759203732166,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.11633192,9.8,2.2823823856765264,0.2620320855614974,-1.33928831874396,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.052199215,11.9,2.4765384001174837,0.3181818181818182,-1.1451323043030026,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.91477199,12.2,2.501435951739211,0.3262032085561497,-1.1202347526812755,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.99370455,12.7,2.5416019934645457,0.33957219251336895,-1.0800687109559408,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.235435515,15.2,2.7212954278522306,0.40641711229946526,-0.9003752765682556,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.236845025,16.8,2.8213788864092133,0.44919786096256686,-0.8002918180112729,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.40528147,15.6,2.747270914255491,0.41711229946524064,-0.8743997901649949,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.593451055,23.4,3.152736022363656,0.6256684491978609,-0.4689346820568306,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.114265,26.1,3.261935314328648,0.6978609625668449,-0.3597353900918385,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.804877555,27.7,3.3214324131932926,0.7406417112299465,-0.3002382912271935,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.103693675,30.2,3.407841924380824,0.8074866310160428,-0.2138287800396623,8,41.27519054318381,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.01343769,3.6,1.2809338454620642,0.09625668449197862,-2.340736858958422,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.342558275,4.4,1.4816045409242156,0.11764705882352942,-2.1400661634962708,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.56878463,5,1.6094379124341003,0.13368983957219252,-2.012232791986386,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.551165755,5.6,1.7227665977411035,0.1497326203208556,-1.8989041066793828,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.079732005,8.8,2.174751721484161,0.23529411764705885,-1.4469189829363254,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.809106085,10.1,2.3125354238472138,0.2700534759358289,-1.3091352805732723,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.888038645,10.4,2.341805806147327,0.27807486631016043,-1.2798648982731593,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
1.673793125,11.1,2.4069451083182885,0.2967914438502674,-1.2147255961021977,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.78378225,16.6,2.8094026953624978,0.4438502673796792,-0.8122680090579886,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.716830525,18.1,2.89591193827178,0.48395721925133695,-0.725758766148706,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
2.850733975,20.4,3.0155349008501706,0.5454545454545454,-0.6061358035703156,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
3.41947126,21.8,3.0819099697950434,0.5828877005347594,-0.5397607346254429,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
3.063569985,22.7,3.122364924487357,0.606951871657754,-0.4993057799331293,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
3.82541014,24.8,3.2108436531709366,0.663101604278075,-0.4108270512495496,15,40.27249634293294,4.5,N,Stechlin cisco,Coregonus fontanae,C.fontanae,mg O2/h,Standard
0.04792334,1.3,0.26236426446749106,2.1666666666666668e-4,-8.4371504837427,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.106418005,2.3,0.8329091229351039,3.833333333333333e-4,-7.8666056252750884,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.159979385,3.2,1.1631508098056809,5.333333333333334e-4,-7.536363938404511,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.267102145,6.3,1.840549633397487,0.00105,-6.8589651148127055,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.698412205,34.7,3.5467396869528134,0.005783333333333334,-5.152775061257379,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.48769046,46.6,3.8416005411316,0.0077666666666666665,-4.857914207078592,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.670222005,76,4.330733340286331,0.012666666666666666,-4.368781407923861,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.351015335,110.9,4.7086288943563215,0.018483333333333334,-3.9908858538538707,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.95141925,105.4,4.657762636107262,0.017566666666666668,-4.04175211210293,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.7188501,105.4,4.657762636107262,0.017566666666666668,-4.04175211210293,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
2.58786036,258,5.552959584921617,0.043,-3.146555163288575,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.80558231,287.7,5.661918270557503,0.04795,-3.03759647765269,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
3.8761525,432.3,6.069119791673586,0.07205,-2.630394956536606,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
4.50338445,531,6.274762021241939,0.0885,-2.4247527269682534,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
3.635831045,533.5,6.279459070741808,0.08891666666666667,-2.420055677468384,5,41.72036606584982,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.207902725,2.2,0.7884573603642703,3.6666666666666667e-4,-7.911057387845922,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.27626396,4.8,1.5686159179138452,7.999999999999999e-4,-7.1308988302963465,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.41439594,5.3,1.667706820558076,8.833333333333333e-4,-7.031807927652116,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.795668395,18.9,2.9391619220655967,0.0031499999999999996,-5.7603528261445955,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.392548535,37.2,3.616308761279101,0.006200000000000001,-5.083205986931091,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.62798405,51.1,3.933784497209659,0.008516666666666667,-4.765730251000533,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
2.48496613,101.9,4.623991940228679,0.016983333333333333,-4.075522807981513,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.732240445,125.2,4.829912458665998,0.02086666666666667,-3.869602289544194,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
8.07508279,260.3,5.561834812000519,0.043383333333333336,-3.1376799362096723,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
6.3709852,430.3,6.064482639844554,0.07171666666666666,-2.635032108365638,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
7.386537155,426.6,6.05584680603725,0.07110000000000001,-2.6436679421729417,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
9.342937035,533.1,6.278709023828715,0.08885,-2.4208057243814767,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
9.88912216,523.3,6.260154913378162,0.08721666666666666,-2.43935983483203,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
8.14837731,287.7,5.661918270557503,0.04795,-3.03759647765269,10,40.98364761157029,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.231864395,1.6,0.47000362924573563,2.666666666666667e-4,-8.229511118964457,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.393958045,3.2,1.1631508098056809,5.333333333333334e-4,-7.536363938404511,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.34110142,4,1.3862943611198906,6.666666666666666e-4,-7.313220387090301,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
0.870372425,14.2,2.653241964607215,0.0023666666666666667,-6.046272783602977,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.191740705,17.6,2.8678989020441064,0.0029333333333333334,-5.831615846166086,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
2.076912985,36.9,3.6082115510464816,0.00615,-5.09130319716371,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.85914369,42.6,3.751854253275325,0.0071,-4.947660494934867,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.30802528,48.7,3.885679030088544,0.008116666666666668,-4.813835718121648,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
1.969790225,49.7,3.906004933102583,0.008283333333333334,-4.793509815107609,15,40.27249634293294,17,N,Common bream,Abramis brama,A.brama,mg O2/h,Standard
